Date,Open,High,Low,Close,Volume,Adj Close
6/29/2010,19.00,25.00,17.54,23.89,18766300.00,23.89
6/30/2010,25.79,30.42,23.30,23.83,17187100.00,23.83
7/1/2010,25.00,25.92,20.27,21.96,8218800.00,21.96
7/2/2010,23.00,23.10,18.71,19.20,5139800.00,19.20
7/6/2010,20.00,20.00,15.83,16.11,6866900.00,16.11
7/7/2010,16.40,16.63,14.98,15.80,6921700.00,15.80
7/8/2010,16.14,17.52,15.57,17.46,7711400.00,17.46
7/9/2010,17.58,17.90,16.55,17.40,4050600.00,17.40
7/12/2010,17.95,18.07,17.00,17.05,2202500.00,17.05
7/13/2010,17.39,18.64,16.90,18.14,2680100.00,18.14
7/14/2010,17.94,20.15,17.76,19.84,4195200.00,19.84
7/15/2010,19.94,21.50,19.00,19.89,3739800.00,19.89
7/16/2010,20.70,21.30,20.05,20.64,2621300.00,20.64
7/19/2010,21.37,22.25,20.92,21.91,2486500.00,21.91
7/20/2010,21.85,21.85,20.05,20.30,1825300.00,20.30
7/21/2010,20.66,20.90,19.50,20.22,1252500.00,20.22
7/22/2010,20.50,21.25,20.37,21.00,957800.00,21.00
7/23/2010,21.19,21.56,21.06,21.29,653600.00,21.29
7/26/2010,21.50,21.50,20.30,20.95,922200.00,20.95
7/27/2010,20.91,21.18,20.26,20.55,619700.00,20.55
7/28/2010,20.55,20.90,20.51,20.72,467200.00,20.72
7/29/2010,20.77,20.88,20.00,20.35,616000.00,20.35
7/30/2010,20.20,20.44,19.55,19.94,426900.00,19.94
8/2/2010,20.50,20.97,20.33,20.92,718100.00,20.92
8/3/2010,21.00,21.95,20.82,21.95,1230500.00,21.95
8/4/2010,21.95,22.18,20.85,21.26,913000.00,21.26
8/5/2010,21.54,21.55,20.05,20.45,796200.00,20.45
8/6/2010,20.10,20.16,19.52,19.59,741900.00,19.59
8/9/2010,19.90,19.98,19.45,19.60,812700.00,19.60
8/10/2010,19.65,19.65,18.82,19.03,1281300.00,19.03
8/11/2010,18.69,18.88,17.85,17.90,797600.00,17.90
8/12/2010,17.80,17.90,17.39,17.60,691000.00,17.60
8/13/2010,18.18,18.45,17.66,18.32,634000.00,18.32
8/16/2010,18.45,18.80,18.26,18.78,485800.00,18.78
8/17/2010,18.96,19.40,18.78,19.15,447900.00,19.15
8/18/2010,19.59,19.59,18.60,18.77,601300.00,18.77
8/19/2010,18.54,19.25,18.33,18.79,579100.00,18.79
8/20/2010,18.65,19.11,18.51,19.10,296000.00,19.10
8/23/2010,19.09,20.39,19.00,20.13,1088100.00,20.13
8/24/2010,19.25,19.71,18.95,19.20,673100.00,19.20
8/25/2010,19.16,19.98,18.56,19.90,503300.00,19.90
8/26/2010,19.89,20.27,19.60,19.75,433800.00,19.75
8/27/2010,19.75,19.87,19.50,19.70,379600.00,19.70
8/30/2010,19.70,20.19,19.61,19.87,732800.00,19.87
8/31/2010,19.66,19.79,19.33,19.48,201100.00,19.48
9/1/2010,19.62,20.69,19.60,20.45,494900.00,20.45
9/2/2010,20.37,21.24,20.31,21.06,487100.00,21.06
9/3/2010,20.87,21.30,20.66,21.05,434600.00,21.05
9/7/2010,20.61,21.00,20.50,20.54,243400.00,20.54
